t,mission_phase,throttle,altitude_ft,ambient_temp,rpm,cht,egt,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,alternator_health,injection_timing,scenario,fault_start
117,CRUISE,0.62,9600,36.4,3970.280747201516,188.51091964729923,643.9588717541919,55.71399434278989,92.13501739921097,17.65182989653755,0.13167558401137364,24.193635682016932,0.9706861330390477,17.977253338615288,Overheating / Thermal Degradation,104
118,CRUISE,0.62,9600,36.4,4005.0391356090604,191.96189484839164,655.372314719155,55.63211844206723,92.94723790796812,17.167147376132498,0.14888469466503168,24.200473885010844,0.970836485243961,17.9016295285475,Overheating / Thermal Degradation,104
119,CRUISE,0.62,9600,36.4,3964.534176195594,188.21285691220805,679.7732740656783,56.875612555127226,89.88461747822926,17.896798419299937,0.13141124317045233,24.271416683535186,0.9670167581676448,18.013362051527775,Overheating / Thermal Degradation,104
120,CRUISE,0.62,9600,36.4,3947.283055162319,184.93460984548256,659.4808755783642,56.51183796955051,93.44348505793882,18.386572574957466,0.1298903699616951,24.25656203459464,0.966031840816517,17.953364018271984,Overheating / Thermal Degradation,104
121,CRUISE,0.62,9600,36.4,3973.744063969039,190.17556092796843,671.4510358226134,56.48086223183757,90.83662787337167,17.245148508279353,0.13607374634826458,24.010976702773036,0.9681596972481564,18.17728723979696,Overheating / Thermal Degradation,104
122,CRUISE,0.62,9600,36.4,3974.639927047379,188.2505837556336,660.4547342351377,56.602776994527304,93.61116811899899,18.084339804794364,0.14274763959790104,24.16395368670974,0.9643336995701777,18.06078997850283,Overheating / Thermal Degradation,104
123,CRUISE,0.62,9600,36.4,3999.7021266552897,190.37144537174115,665.9369938579681,56.87097506840291,91.03805202551976,17.667016171906987,0.13941822305372234,24.173120938347363,0.9630126716713302,17.842583620106733,Overheating / Thermal Degradation,104
124,CRUISE,0.62,9600,36.4,3988.172447410121,191.65418582382904,661.2778986188868,53.329660655689324,91.57195516012185,17.760536478959903,0.1359100020255819,24.07787408563638,0.9638391151642971,18.080547361393645,Overheating / Thermal Degradation,104
125,CRUISE,0.62,9600,36.4,3977.651163301289,187.6594369530513,661.3342265063642,55.596230272056204,92.1209485510695,17.41348552125362,0.13607340750477057,24.18865098349394,0.9650607473441142,17.90704177724855,Overheating / Thermal Degradation,104
126,CRUISE,0.62,9600,36.4,4001.9926636068303,188.46405138674422,656.9315005347343,53.235726916163685,96.53838578220919,17.664940339675443,0.1361354826543742,24.25792546634463,0.962946104800831,17.930760435434696,Overheating / Thermal Degradation,104
127,CRUISE,0.62,9600,36.4,3943.6472128048977,194.89031345526095,668.898501704302,56.11687790483713,93.2444020464777,18.237015608144635,0.13529422207307162,24.117805928424563,0.9682482382362515,18.037658282412856,Overheating / Thermal Degradation,104
128,CRUISE,0.62,9600,36.4,3955.725466279506,192.62954554546175,658.4409021394333,56.06397713610835,91.10394531033597,17.985929334695697,0.1577511669830377,24.20318405632139,0.9705188626951349,17.940990309632383,Overheating / Thermal Degradation,104
129,CRUISE,0.62,9600,36.4,3949.4153292890787,187.46450531658664,673.1739513373471,57.429191957226585,93.81570733172958,18.38830906189348,0.1441912617088252,24.128050591362214,0.9612516067968071,18.107142697958754,Overheating / Thermal Degradation,104
130,CRUISE,0.62,9600,36.4,3961.2241843305733,197.39598435513437,678.0302146189605,57.61392471053746,92.0168301417419,18.194094161142193,0.14864494495978053,24.14268527857922,0.9677005148448642,17.907058792618393,Overheating / Thermal Degradation,104
131,CRUISE,0.62,9600,36.4,3939.512904753761,196.51368794634683,672.6403616125034,56.333607562728076,92.02232209406924,17.935680337625353,0.13934303667053594,24.271643618050202,0.9667202568189347,17.925726413689038,Overheating / Thermal Degradation,104
132,CRUISE,0.62,9600,36.4,3983.773320829917,194.30483470322417,667.8442877137882,55.41953059938403,94.31721782931184,18.392377084158728,0.14179382957548714,24.15044653079329,0.9689660347421473,17.921235492774226,Overheating / Thermal Degradation,104
133,CRUISE,0.62,9600,36.4,3964.9111006638273,193.16919119851065,675.5851638979888,56.70070944630946,93.19831259218304,17.935647605558405,0.13842959581461806,24.210732749340636,0.9675482449275856,17.932123350197394,Overheating / Thermal Degradation,104
134,CRUISE,0.62,9600,36.4,3937.442261520942,199.7492094781012,669.8003635527137,55.38370707147839,93.76691650334665,18.07179586187897,0.12519146270819717,24.070726913036342,0.9617856028802735,18.131902986665736,Overheating / Thermal Degradation,104
135,CRUISE,0.62,9600,36.4,3947.4572602134344,198.93976069053764,682.0772925502389,56.068189553123645,93.56739888542951,17.67820016626285,0.13443630348311758,24.294739053683692,0.9625504428045714,18.075455555233237,Overheating / Thermal Degradation,104
136,CRUISE,0.62,9600,36.4,3976.6973046439043,205.1854969178312,658.2536610315375,57.351977212049,94.24866416359235,17.80529103555072,0.13173698502961093,24.219159146778388,0.9677176943023399,18.20519327448145,Overheating / Thermal Degradation,104
137,CRUISE,0.62,9600,36.4,3988.2387844936766,200.243370181693,672.7947968448268,55.34489725021375,94.57860674089108,17.537901661844902,0.1289917767122335,24.172050009440984,0.971715123678982,18.272117304467912,Overheating / Thermal Degradation,104
138,CRUISE,0.62,9600,36.4,4013.7280796172195,200.70504247974418,658.9769025701997,57.11738223101525,91.23307591673135,18.1283543771082,0.13670169770622909,24.217532790599993,0.958743250515828,17.87631395616812,Overheating / Thermal Degradation,104
139,CRUISE,0.62,9600,36.4,4033.9049742521615,199.70470705885393,664.517610422692,56.95062177929999,95.33575373975641,17.3695937319098,0.15467284765040826,24.09841083426313,0.9689829063192064,18.008450295279275,Overheating / Thermal Degradation,104
140,CRUISE,0.62,9600,36.4,3978.917007532072,203.0117092702675,691.3268653314831,54.82877063772993,93.06023402814928,18.055822619846182,0.14541605208922742,24.25395184450516,0.9723584880211505,17.85885596200279,Overheating / Thermal Degradation,104
141,CRUISE,0.62,9600,36.4,3948.030161359299,203.02760698454748,688.1877174693241,57.33606236668262,92.56718287560825,17.715272129873195,0.15508999896782716,24.163560913470214,0.9669878964951751,17.90668728867021,Overheating / Thermal Degradation,104
142,CRUISE,0.62,9600,36.4,3922.894981823911,205.33483002398256,674.7346779004368,56.978136248982956,94.84038313421198,18.19193648271356,0.14926187803830615,24.170755829097093,0.9698008099841058,17.92439009876932,Overheating / Thermal Degradation,104
143,CRUISE,0.62,9600,36.4,3975.6896521715644,200.922927406763,668.7664162640529,56.20250365358446,95.25133992602431,18.04480414605594,0.15219185914842717,24.153500663102072,0.9647877236764089,17.873141415103408,Overheating / Thermal Degradation,104
144,CRUISE,0.62,9600,36.4,3951.915295903173,201.71612223365165,656.6871351962671,55.07897950456405,94.28247759524683,18.419226155176382,0.14073661576971008,24.148160915835266,0.9671225352028925,17.87377352725219,Overheating / Thermal Degradation,104
145,HIGH LOAD,0.88,10500,37.75,4255.612140276047,217.03890585828856,731.1828825338694,53.03803217585176,101.49815304965986,22.130771141898524,0.15864449878461187,24.133680236697703,0.9559163459267674,17.98268587457757,Overheating / Thermal Degradation,104
146,HIGH LOAD,0.88,10500,37.75,4251.283870420684,221.14727113509065,758.9370245839108,53.45603865002607,98.43571093465417,21.324785910521367,0.16040678911220463,24.107354411006252,0.9530226267663245,17.85399378979363,Overheating / Thermal Degradation,104
147,HIGH LOAD,0.88,10500,37.75,4261.652600498839,223.6811063275677,742.146195285278,54.86037280227955,100.03592648210432,21.85156638948563,0.15159820579646943,24.13110488848418,0.9661710632049011,18.101055235096517,Overheating / Thermal Degradation,104
148,HIGH LOAD,0.88,10500,37.75,4288.201565077328,218.75353609286617,734.2750336360809,52.91268728237819,99.9663993239163,21.464797482591816,0.15988046680483947,24.091472318630863,0.9584600202891023,17.8898695755099,Overheating / Thermal Degradation,104
149,HIGH LOAD,0.88,10500,37.75,4268.205068483798,219.4015546148109,744.5758534644501,54.72376592320583,100.97119804185942,21.693602055171805,0.1602559458889712,24.12279198866463,0.9605778886199863,18.33714827641157,Overheating / Thermal Degradation,104
150,HIGH LOAD,0.88,10500,37.75,4261.260033585148,222.0229688584144,727.4204537704185,52.54071781245809,101.65674379539192,22.40392995164685,0.15277471059945782,24.066869075364497,0.9568542309869192,17.94583386588427,Overheating / Thermal Degradation,104
151,HIGH LOAD,0.88,10500,37.75,4241.965617437832,221.0080520104902,739.8721160515107,53.8897108402295,99.92397636503837,22.098136833814195,0.14909114728989253,24.225783910484573,0.9567601211876645,18.008642117030046,Overheating / Thermal Degradation,104
152,HIGH LOAD,0.88,10500,37.75,4227.906975216504,224.91456601826536,744.5222709413522,54.297542080946215,102.71960822671066,21.63037434999744,0.1489905753609226,23.99792417501417,0.9617046491996216,17.844559057864075,Overheating / Thermal Degradation,104
153,HIGH LOAD,0.88,10500,37.75,4254.051226000387,216.4964709546877,743.9310151862421,57.33366918857659,101.925056184081,21.52019892174586,0.15821395984608183,24.167656239413777,0.9594816912234575,18.204731010975316,Overheating / Thermal Degradation,104
154,HIGH LOAD,0.88,10500,37.75,4263.566783881997,221.0393048160011,752.9021235162633,52.364489647823525,99.19000167266371,21.88647373250669,0.16022643750257784,24.174074447043257,0.9639118839919788,18.13434008169635,Overheating / Thermal Degradation,104
155,HIGH LOAD,0.88,10500,37.75,4303.644458098757,221.71594479122373,749.9656228255981,56.068618936437176,99.28740231308866,21.449203947716605,0.1527186349762683,24.040870471642062,0.9642101536759184,18.035629904488335,Overheating / Thermal Degradation,104
156,HIGH LOAD,0.88,10500,37.75,4267.616039472404,217.96234527058195,753.9576973208666,54.34979513818347,102.40417895534287,21.640100902911197,0.15878136054717742,24.225756416633356,0.9636833985852985,17.83838369414645,Overheating / Thermal Degradation,104
157,HIGH LOAD,0.88,10500,37.75,4286.370269242508,222.31378603997786,742.826359986239,54.68952349342075,102.28857533910994,21.984203315042937,0.1629179697792852,24.151729416976718,0.9633544031637138,18.025280025326953,Overheating / Thermal Degradation,104
158,HIGH LOAD,0.88,10500,37.75,4253.7654968321385,223.0021681387893,758.1809965704318,54.30885228740467,102.66226456648016,22.279359212637345,0.16358049289739396,24.150268340409372,0.9687110728197276,17.865428274477928,Overheating / Thermal Degradation,104
159,HIGH LOAD,0.88,10500,37.75,4238.681237138825,225.55414380945254,765.8400377917739,54.733144863653806,102.97278947309943,22.088066515278555,0.17044526610401534,24.09368133122155,0.9581296249238205,18.175482631616802,Overheating / Thermal Degradation,104
160,HIGH LOAD,0.88,10500,37.75,4243.517431230888,229.78617291770138,743.5272069547162,53.95520936432938,103.55047133821265,21.073048671990666,0.16884991845696526,24.078966430506878,0.9621802605351883,18.09710336782238,Overheating / Thermal Degradation,104
161,HIGH LOAD,0.88,10500,37.75,4248.795026580214,226.53633017666604,745.3482390985689,56.045265235894696,104.83097441477246,21.98152835516059,0.15323095997070418,24.07943547037762,0.9669307592820784,18.01145268461853,Overheating / Thermal Degradation,104
162,HIGH LOAD,0.88,10500,37.75,4311.5763341135735,224.88885316218813,766.4385063953031,53.56158751250786,101.9402110696763,21.900211750631403,0.1723540508351872,24.11543183577917,0.9674581592373522,17.70763492041032,Overheating / Thermal Degradation,104
163,HIGH LOAD,0.88,10500,37.75,4246.679493057063,228.16829044249687,753.7732988565865,55.626904943833026,102.04627945275408,22.019861599880443,0.1571810592049521,24.17607117650203,0.9567129454026218,17.881990082560915,Overheating / Thermal Degradation,104
164,HIGH LOAD,0.88,10500,37.75,4283.1967624822,231.81808087687787,769.2087346338622,53.31732274372307,102.36161947632682,22.440673388577924,0.16854095179244416,24.102878853071683,0.9611505782333766,18.082531335791984,Overheating / Thermal Degradation,104
165,DESCENT,0.48,10500,37.75,3784.8856020820854,205.90034163066775,677.6704680666546,56.67667259967833,97.87234868496358,14.95286660311834,0.15033169585604184,24.17731338261176,0.9758324843834689,18.145546043006778,Overheating / Thermal Degradation,104
166,DESCENT,0.48,10050,37.075,3827.2696062832333,205.94979821975681,694.7138970285419,55.473948682022716,99.33501317323282,15.436613801183112,0.1472996911929065,24.2814656237431,0.9724323164207962,18.133100377379055,Overheating / Thermal Degradation,104
167,DESCENT,0.48,9600,36.4,3817.268921254329,209.92972655965207,682.7670565617755,57.57153083645178,96.84920136895651,15.818817212977674,0.1378598061921018,24.287269044783688,0.971181052125919,17.808958439731025,Overheating / Thermal Degradation,104
168,DESCENT,0.48,9150,35.725,3807.378966251522,207.61186992858535,683.8729409888517,58.97116374400449,93.77227918112894,15.026941960191118,0.14964168000743297,24.271279571706867,0.9695292612262613,18.03618627681755,Overheating / Thermal Degradation,104
169,DESCENT,0.48,8700,35.05,3811.9532244250204,209.91150976556548,695.5965411423977,57.104436966232896,94.99745807450549,16.06558216681873,0.14025589630022917,24.276729934391497,0.9688647962971689,18.121861825977952,Overheating / Thermal Degradation,104
170,DESCENT,0.48,8250,34.375,3800.4696707005533,207.92672319349947,678.223342018792,57.06154859168492,96.33251070527966,15.646424814445231,0.1582716209666889,24.21574431219053,0.9715528762523612,17.80099973213013,Overheating / Thermal Degradation,104
171,DESCENT,0.48,7800,33.7,3826.713588432606,209.7959740041245,672.9743748208858,55.9809979480117,96.77409087928348,15.782304395045191,0.16244702228418528,24.176260649972164,0.969390503500062,17.99905145815521,Overheating / Thermal Degradation,104
172,DESCENT,0.48,7350,33.025,3808.915363432503,204.79947864910724,677.3725931803765,57.244419550382005,97.02671969069684,15.25466971846737,0.14658004412755476,24.179908394161554,0.9702296855158221,18.032861087797016,Overheating / Thermal Degradation,104
173,DESCENT,0.48,6900,32.35,3793.9866731971206,207.5302419251613,685.4458739768409,55.58436746236202,97.72579273710295,15.707817291488174,0.15460116361868756,24.133872205092526,0.9707143948244601,17.96390824981839,Overheating / Thermal Degradation,104
174,DESCENT,0.48,6450,31.675,3794.8603733649684,206.84052848609895,667.248234139849,56.58075861726553,97.22891997745053,15.765465044596162,0.14773857513541788,24.246216916692756,0.9676877138860259,17.777740577351857,Overheating / Thermal Degradation,104
175,DESCENT,0.48,6000,31.0,3828.7969341898865,203.89234751777158,687.0425012817548,58.17482185994188,99.29916731055195,15.441507307048008,0.14874587004693723,24.226993073006405,0.9725285174955257,17.960916226791152,Overheating / Thermal Degradation,104
176,DESCENT,0.48,5550,30.325,3861.7650076410296,202.78548543017823,676.4215186677561,59.707217157063816,96.73975035726741,15.410540312444544,0.15889567345337338,24.20560073772822,0.9820569785936616,17.9607233483694,Overheating / Thermal Degradation,104
177,DESCENT,0.48,5100,29.65,3832.5698154986158,208.94970256192696,691.5659718413389,61.75697411959836,96.48891779762877,15.391620133748603,0.15353339006183297,24.054662870539296,0.9632920534426956,17.98223131145427,Overheating / Thermal Degradation,104
178,DESCENT,0.48,4650,28.975,3828.4649568255822,205.91332017189495,659.6525125190537,57.45493938940783,98.52932646567542,14.963329157341215,0.166309641556675,24.157160951818348,0.9716960500967599,17.93238342894899,Overheating / Thermal Degradation,104
179,DESCENT,0.48,4200,28.3,3839.388175071256,203.8999836324401,674.0869606556414,60.19589020363908,95.53616847405819,15.182364961915876,0.15108542528065852,24.29925043908419,0.9673592396455243,17.946838541611022,Overheating / Thermal Degradation,104
